title,au,id,my,th,vn,cn
welcome,Welcome to Accor Plus' Loyalty Plus hotel sales,Selamat datang di penjualan hotel Loyalty Plus Accor Plus,Welcome to Accor Plus' Loyalty Plus hotel sales,ยินดีต้อนรับสู่ Accor Plus' Loyalty Plus hotel sales,Chào mừng bạn tham gia chương trình Loyalty Plus,this is test
beforeWeGetStarted,"Before we get started, there are 3 short questions to ensure we have all the needed detail to successfully complete the membership enrolment.","Sebelum dimulai, ada 3 pertanyaan singkat untuk memastikan kami memiliki semua detail yang dibutuhkan untuk berhasil menyelesaikan pendaftaran keanggotaan.","Before we get started, there are 3 short questions to ensure we have all the needed detail to successfully complete the membership enrolment.",ก่อนที่จะเริ่ม มี 3 ข้อที่ทุกคนควรรู้เพื่อให้แน่ใจว่าเราจะเริ่มการขายบัตรสมาชิกได้ครบถ้วนและถูกต้อง,"Trước khi bắt đầu, vui lòng hoàn thành 3 câu hỏi ngắn để chắc chắn rằng chúng tôi có đủ các thông tin cần thiết để hoàn thành việc đăng ký thẻ hội viên.",this is test
toAssist,"To assist the guest with the appropriate product selection, please see below our key Accor Plus membership benefits.","Untuk membantu tamu dengan pemilihan produk yang sesuai, silakan lihat di bawah manfaat keanggotaan utama Accor Plus.","To assist the guest with the appropriate product selection, please see below our key Accor Plus membership benefits.",คุณสามารถช่วยแขกเลือกสมัครประเภทบัตรสมาชิกได้อย่างถูกต้อง โปรดอ่านรายละเอียดด้านล่างเพื่อเข้าใจถึงสิทธิประโยชน์ของ Accor Plus ,"Để hỗ trợ khách hàng lựa chọn sản phẩm thẻ phù hợp, vui lòng tham khảo các quyền lợi chính của thẻ Accor Plus bên dưới.",this is test
supplliedDetails,Supplied details,Detail yang disediakan,Supplied details,ข้อมูลผู้ขายบัตรสมาชิก,Thông tin chung,this is test
employeeType,Employee type,Tipe karyawan,Employee type,ประเภท,Thông tin nhân viên,this is test
hotelHeartist,Hotel Heartist,Hotel Heartist,Hotel Heartist,พนักงานโรงแรม (Heartist),Heartist,this is test
heartistName,Heartist name,Nama Heartist,Heartist name,ชื่อ- นามสกุล,Họ tên nhân viên,this is test
hotelDetails,Hotel details,Detail Hotel,Hotel details,ข้อมูลโรงแรม,Thông tin khách sạn,this is test
pleaseProvide,Please provide your hotel details for sales tracking,Harap berikan detail hotel Anda untuk tujuan pelacakan penjualan,Please provide your hotel details for sales tracking,โปรดใส่ข้อมูลของโรงแรมคุณเพื่อใช้ในการเช็คการขาย,Vui lòng cung cấp thông tin của khách sạn,this is test
hotelRIDCode,Hotel RID code,Kode RID Hotel,Hotel RID code,รหัส RID ของโรงแรม,RID code,this is test
enterRIDCode,Enter the RID Code here.,Enter the RID Code here.,Enter the RID Code here.,Enter the RID Code here.,Enter the RID Code here.,this is test
clickHere,Click here to perform a search,Klik di sini untuk melakukan pencarian,Click here to perform a search,คลิกที่นี่เพื่อค้นหา,Vui lòng tìm kiếm thông tin tại đây,this is test
check,Check,Check,Check,ตรวจสอบ,KIỂM TRA,this is test
result,Result,Hasil,Result,แสดงผล,Kết quả,this is test
dontKnowHotelCode,Don't know your hotel code?,Tidak tahu kode RID hotel Anda?,Don't know your hotel code?,หากไม่ทราบรหัส RID ของโรงแรมคุณ,Bạn không biết mã RID của khách sạn?,this is test
mandatoryQuestion,mandatory question,pertanyaan wajib,mandatory question,จำเป็นต้องใส่ข้อมูล,Câu hỏi bắt buộc,this is test
next,Next,BERIKUT,Next,ถัดไป,TIẾP THEO,this is test
back,Back,KEMBALI,Back,กลับไป,TRỞ LẠI,this is test
missingEmployee,Missing your employee name,Missing your employee name,Missing your employee name,Missing your employee name,Missing your employee name,this is test
whyWeNeedThis,Why do we need this? Some sales will come with benefits for the Hotel Heartist who made the sale. This information is used to ensure you get what you deserve :),Kenapa kita membutuhkan ini? Beberapa penjualan akan datang dengan keuntungan bagi Hotel Heartist yang melakukan penjualan. Informasi ini digunakan untuk memastikan Anda mendapatkan apa yang pantas Anda dapatkan :),Why do we need this? Some sales will come with benefits for the Hotel Heartist who made the sale. This information is used to ensure you get what you deserve :),โปรดกรอกข้อมููลของท่านให้ครบถ้วนเพื่อรับสิทธิประโยชน์จากการขายบัตรสมาชิก,Vì sao chúng tôi cần thông tin này? Nhân viên khách sạn bán thẻ thành công đều được thưởng. Chúng tôi muốn chắc chắn rằng bạn sẽ nhận được phần thưởng xứng đáng :),this is test
enterStaffName,Enter Staff name,Masukkan nama staf,Enter Staff name,ชื่อพนักงาน,Vui lòng nhập họ tên nhân viên,this is test
yourstaffID,Your Staff ID,ID staf Anda,Your Staff ID,หมายเลขบัตรพนักงาน,Mã nhân viên,this is test
enterStaffID,Enter Staff ID,Masukkan ID staf,Enter Staff ID,กรอกหมายเลขบัตรพนักงาน,Vui lòng nhập mã nhân viên,this is test
pleaseProvideHotelName,Please provide your hotel name for a search,Harap berikan nama hotel Anda untuk pencarian,Please provide your hotel name for a search,โปรดกรอกชื่อโรงแรมเพื่อค้นหา,Vui lòng cung cấp thông tin khách sạn để tìm kiếm,this is test
search,SEARCH,CARI HOTEL,SEARCH,ค้นหา,TÌM KIẾM,this is test
saveAndApply,SAVE AND APPLY,SIMPAN DAN TERAPKAN,SAVE AND APPLY,บันทึก,ÁP DỤNG,this is test
yourDetails,Your Details,Detail Anda,Your Details,ข้อมูลพนักงานขาย,Thông tin của bạn,this is test
